movie_name,movie_description,target,id
The Royal Tenenbaums,"Royal Tenenbaum and his wife Etheline had three children and then they separated. All three children are extraordinary --- all geniuses. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. Most of this was generally considered to be their father's fault. ""The Royal Tenenbaums"" is the story of the family's sudden, unexpected reunion one recent winter.",Comedy,449085aa
Abandoned,"Abandoned follows the sharply intense lives of Sara (Emma Roberts), her husband Alex (John Gallagher Jr.), and their infant son as they move into a remote farmhouse, which harbors a dark, tragic history. As their home's past is revealed, the mother's fragility escalates to a state of psychosis that jeopardizes her own safety and that of her newborn son.",Horror,a14508f0
This Is England,"Shaun (Thomas Turgoose), who lost his father in the Falklands War, earns the respect of skinheads when he stand up to their teasing. He becomes part of the gang and enjoys hanging out with his new friends. Trouble starts with the return of Combo (Stephen Graham), a racist ex-convict. With the gang divided into two factions, Shaun sides with Combo and, unfortunately, finds in him a father figure.",Drama,f5793390
Children of the Corn,"As physician Burt Stanton (Peter Horton) and his girlfriend, Vicky (Linda Hamilton), drive across the Midwest to his new job, their trip comes to a sudden halt when they encounter the body of a murdered boy in the road. In trying to contact the authorities, Burt and Vicky wander into a small town populated only by children, followers of sinister young preacher Isaac Chroner (John Franklin). Soon the couple is fleeing the youthful fanatics, who want to sacrifice them to their demonic deity.",Horror,d4d283fe
Dallas Buyers Club,"In mid-1980s Texas, electrician Ron Woodroof (Matthew McConaughey) is stunned to learn that he has AIDS. Though told that he has just 30 days left to live, Woodroof refuses to give in to despair. He seeks out alternative therapies and smuggles unapproved drugs into the U.S. from wherever he can find them. Woodroof joins forces with a fellow AIDS patient (Jared Leto) and begins selling the treatments to the growing number of people who can't wait for the medical establishment to save them.",Drama,252fc399
Hypnotic,A young woman seeking self-improvement enlists the help of a hypnotist.,Horror,6227b561
A River Runs Through It,"The Maclean brothers, Paul (Brad Pitt) and Norman (Craig Sheffer), live a relatively idyllic life in rural Montana, spending much of their time fly fishing. The sons of a minister (Tom Skerritt), the boys eventually part company when Norman moves east to attend college, leaving his rebellious brother to find trouble back home. When Norman finally returns, the siblings resume their fishing outings, and assess both where they've been and where they're going.",Drama,5e76779f
Mission: Impossible Rogue Nation,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the Syndicate -- soon emerges. The Syndicate is a network of highly skilled operatives who are dedicated to establishing a new world order via an escalating series of terrorist attacks. Faced with what may be the most impossible mission yet, Ethan gathers his team and joins forces with Ilsa Faust (Rebecca Ferguson), a disavowed British agent who may or may not be a member of this deadly rogue nation.",Action,96c0e686
Sherlock Holmes,"When a string of brutal murders terrorizes London, it doesn't take long for legendary detective Sherlock Holmes (Robert Downey Jr.) and his crime-solving partner, Dr. Watson (Jude Law), to find the killer, Lord Blackwood (Mark Strong). A devotee of the dark arts, Blackwood has a bigger scheme in mind, and his execution plays right into his plans. The game is afoot when Blackwood seems to rise from the grave, plunging Holmes and Watson into the world of the occult and strange technologies.",Action,4be285ce
Dragon Ball Super: Broly,"Goku and Vegeta encounter Broly, a Saiyan warrior.",Action,fcb0ad1f
Dave Chappelle: Sticks & Stones,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta.",Comedy,5e0106d2
Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.",Action,83d4348f
American Pie,"A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as losing one's virginity. In this hilarious lesson in life, love and libido, a group of friends, fed up with their well-deserved reputations as sexual no-hitters, decide to take action.",Comedy,d5853114
Climax,"When members of a dance troupe are lured to an empty school, drug-laced sangria causes their jubilant rehearsal to descend into a dark and explosive nightmare as they try to survive the night -- and find out who's responsible -- before it's too late.",Drama,67039cd0
Kung Fu Panda 3,"Living large and loving life, Po (Jack Black) realizes that he has a lot to learn if he's going to fulfill the next challenge from his beloved instructor (Dustin Hoffman). After reuniting with his long-lost father (Bryan Cranston), Po must transition from student to teacher and train a group of fun-loving, clumsy pandas to become martial-arts fighters. Together, the kung-fu brethren unite to take on the evil Kai (J.K. Simmons), a supernatural warrior who becomes stronger with each battle.",Kids,3f09ba82
All Good Things,"Heir to a real-estate dynasty, David Marks (Ryan Gosling) lives in the shadow of his father, Sanford (Frank Langella). He takes a chance at true love when he meets Katie (Kirsten Dunst), a woman of modest origins who sees David's real worth as a person, not just his family's wealth. David and Katie marry and plan to build a life together, but their once-loving relationship deteriorates after David gives in to his father's demand that he work in the family business.",Mystery,9168e147
The Dictator,"Gen. Aladeen (Sacha Baron Cohen) has ruled the oil-rich North African country of Wadiya since the age of six, when 97 stray bullets and a hand grenade killed his father in a hunting accident. After an assassination attempt takes the life of yet another body-double, Tamir (Ben Kingsley), Aladeen's uncle and most trusted adviser, convinces Aladeen to go to New York. Unfortunately, Aladeen has a less-than-friendly reception from exiled Wadiyans, who want their country freed from his despotic rule.",Comedy,efbb754e
Big Fish,"When Edward Bloom (Albert Finney) becomes ill, his son, William (Billy Crudup), travels to be with him. William has a strained relationship with Edward because his father has always told exaggerated stories about his life, and William thinks he's never really told the truth. Even on his deathbed, Edward recounts fantastical anecdotes. When William, who is a journalist, starts to investigate his father's tales, he begins to understand the man and his penchant for storytelling.",Drama,a4d27416
Clown,A loving father (Andy Powers) becomes a savage killer while wearing a cursed clown costume that won't come off.,Horror,8face045
I Heart Huckabees,"Environmentalist Albert (Jason Schwartzman) enlists the services of ""existential detectives"" Bernard (Dustin Hoffman) and Vivian (Lily Tomlin) to solve the meaning of a succession of strange coincidences. The investigators conclude that the backstabbing Brad (Jude Law) -- a public relations manager at big-box retailer Huckabees -- is at the root of Albert's angst. Brad tries to turn the tables, however, by hiring the philosophic duo for his own nefarious purposes.",Comedy,ac45e0ab
Real Steel,"Charlie Kenton (Hugh Jackman) used to be a prizefighter but lost his chance to win a title when heavy, towering robots took over the boxing ring. Now working as a small-time promoter, Charlie pieces together scrap metal into low-end fighters, barely earning enough to make it from one underground venue to the next. After hitting rock bottom, Charlie reluctantly teams with his estranged son, Max (Dakota Goyo), to build and train a championship robot for a last shot at redemption.",Action,7cf9fd0e
Harry Potter and the Half-Blood Prince,"As Death Eaters wreak havoc in both Muggle and Wizard worlds, Hogwarts is no longer a safe haven for students. Though Harry (Daniel Radcliffe) suspects there are new dangers lurking within the castle walls, Dumbledore is more intent than ever on preparing the young wizard for the final battle with Voldemort. Meanwhile, teenage hormones run rampant through Hogwarts, presenting a different sort of danger. Love may be in the air, but tragedy looms, and Hogwarts may never be the same again.",Kids,eb8938cc
Horse Girl,A woman's surreal dreams affect her perception of reality.,Comedy,9df47ceb
The Intern,"Starting a new job can be a difficult challenge, especially if you're already retired. Looking to get back into the game, 70-year-old widower Ben Whittaker (Robert De Niro) seizes the opportunity to become a senior intern at an online fashion site. Ben soon becomes popular with his younger co-workers, including Jules Ostin (Anne Hathaway), the boss and founder of the company. Whittaker's charm, wisdom and sense of humor help him develop a special bond and growing friendship with Jules.",Comedy,0b2fadd1
Unfaithful,"Described by director Adrian Lyne (""Fatal Attraction"") as ""an erotic thriller about the body language of guilt."" When Edward (Richard Gere) innocently learns that his wife Connie (Diane Lane) has lied to him about an affair, suspicion propels him to uncover the devastating details of her infidelity. Tormented by the knowledge, he confronts her lover, only to discover a level of rage within himself that he could never have imagined.",Drama,66659739
The Hunger,"John (David Bowie) is the lover of the gorgeous immortal vampire Miriam (Catherine Deneuve), and he's been led to believe that he'll live forever, too. Unfortunately, he quickly deteriorates into a horrible living death, and Miriam seeks a new companion. She soon sets her sights on Sarah (Susan Sarandon), a lovely young scientist, who quickly falls under Miriam's spell. However, Sarah doesn't warm up to the concept of vampirism easily, leading to conflict with Miriam.",Horror,7567a852
Back to the Future Part III,"In this final chapter, Marty McFly (Michael J. Fox) obtains a 70-year-old message from the time-traveling Dr. Emmett Brown (Christopher Lloyd), in which he informs Marty that he has retired to a small town in the Old West. Marty then finds out that the Doc was murdered shortly after sending the letter. In order to save his friend, Marty will have to travel back in time, disentangle a lovestruck Doc from a local schoolmarm, and repair the DeLorean -- all while avoiding a posse of gunslingers.",Comedy,a3e78060
The Sandlot,"When Scottie Smalls (Thomas Guiry) moves to a new neighborhood, he manages to make friends with a group of kids who play baseball at the sandlot. Together they go on a series of funny and touching adventures. The boys run into trouble when Smalls borrows a ball from his stepdad that gets hit over a fence.",Kids,3a41cfd9
Villains,Amateur criminals stumble upon a dark secret in a sadistic couple's home.,Comedy,6aedd12b
The Age of Shadows,Korean resistance fighters smuggle explosives to destroy facilities controlled by Japanese forces.,Action,200cbeaf
The Reef: Stalked,"In an effort to heal after witnessing her sister's horrific murder, Nic travels to a tropical resort with her friends for a kayaking and diving adventure. Only hours into their expedition, the women are stalked and then attacked by a great white shark. To survive they will need to band together and Nic will have to overcome her post-traumatic stress, face her fears and slay the monster.",Mystery,10f39a68
Felon,A new convict (Stephen Dorff) struggles to maintain his sanity and sense of humanity after he's thrust into a prison system in which a brutal guard (Harold Perrineau) encourages gladiatorial combat between inmates.,Drama,e696a410
On Her Majesty's Secret Service,"Agent 007 (George Lazenby) and the adventurous Tracy Di Vicenzo (Diana Rigg) join forces to battle the evil SPECTRE organization in the treacherous Swiss Alps. But the group's powerful leader, Ernst Stavro Blofeld (Telly Savalas), is launching his most calamitous scheme yet: a germ warfare plot that could kill millions!",Action,08e82fa6
Romance,"A woman (Caroline Ducey) has several affairs, trying to spark the interest of her lover (Sagamore Stévenin), a self-absorbed, male model.",Drama,27e5a6f7
Geostorm,"After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it.",Action,6267650a
Michael Clayton,"Former prosecutor Michael Clayton (George Clooney) works as a ""fixer"" at the corporate law firm of Kenner, Bach and Ledeen, and takes care of his employer's dirty work. Burned out and deep in debt, he is bound tightly to the firm. Clayton faces the biggest challenge of his career when a guilt-ridden attorney (Tom Wilkinson) has a breakdown during a huge class-action lawsuit.",Drama,882f7009
Out of Office,An underachieving young woman embraces a new reality and forms unexpected bonds with her unhappy boss and her quirky coworkers when she is hired for a remote job.,Comedy,d6c59417
Black Bear,A filmmaker plays a calculated game of desire and jealousy in pursuit of a work of art that blurs the boundaries between autobiography and invention.,Drama,b6052f09
Incarnation,"Based on the legendary demon Mammon, Incarnation is a twisted tale of greed about a young couple chasing the American dream. Brad (Taye Diggs) and Jess (Jessica Uberuaga) move to Los Angeles in search of a better life. When they stumble upon a hidden real estate gem, they are elated by their turn of fortune. But they soon learn that greed comes with a hefty price when their ideal home is hiding a secret far more sinister than they could have ever imagined.",Horror,055b0711
Juno,"When precocious teen Juno MacGuff becomes pregnant, she chooses a failed rock star and his wife to adopt her unborn child. Complications occur when Mark, the prospective father, begins viewing Juno as more than just the mother of his future child, putting both his marriage and the adoption in jeopardy.",Comedy,8bb5f619
The Fourth Kind,"Since the 1960s, a disproportionate number of the population in and around Nome, Alaska, have gone missing. Despite FBI investigations, the disappearances remain a mystery. Dr. Abigail Tyler (Milla Jovovich), a psychologist, may be on the verge of blowing the unsolved cases wide open when, during the course of treating her patients, she finds evidence of alien abductions.",Mystery,88c88cb7
Limitless,"Facing unemployment and his girlfriend's rejection, writer Eddie Morra (Bradley Cooper) is sure that he has no future. That all changes when an old friend gives him a drug that produces enhanced mental acuity. Stoked on the untested chemical, Eddie rises to the top of the financial world and attracts the attention of a tycoon (Robert De Niro) who intends to use him to make a fortune. But terrible side-effects and a dwindling supply threaten to collapse Eddie's house of cards.",Mystery,e63c47fe
3 From Hell,"Crazed killers Baby Firefly, Captain Spaulding and Otis Driftwood unleash bloody mayhem after escaping from prison.",Horror,94185000
Almost Famous,"Set in 1973, it chronicles the funny and often poignant coming of age of 15-year-old William, an unabashed music fan who is inspired by the seminal bands of the time. When his love of music lands him an assignment from Rolling Stone magazine to interview the up-and-coming band Stillwater -- fronted by lead guitar Russell Hammond and lead singer Jeff Bebe William embarks on an eye-opening journey with the band's tour, despite the objections of his protective mother.",Comedy,19c6a8ec
Fathers and Daughters,"A Pulitzer Prize-winning author (Russell Crowe) checks into a mental health facility after the death of his wife, while his daughter (Amanda Seyfried) falls for an aspiring novelist (Aaron Paul) years later.",Drama,e66dab63
The Descendants,"Native islander Matt King (George Clooney) lives with his family in Hawaii. Their world shatters when a tragic accident leaves his wife in a coma. Not only must Matt struggle with the stipulation in his wife's will that she be allowed to die with dignity, but he also faces pressure from relatives to sell their family's enormous land trust. Angry and terrified at the same time, Matt tries to be a good father to his young daughters, as they too try to cope with their mother's possible death.",Comedy,0c830192
Books of Blood,A journey into uncharted territory through three tales tangled in space and time.,Horror,9665c01b
Backcountry,"A couple (Missy Peregrym, Jeff Roop) on a deep-wilderness hike become hopelessly lost within an aggressive black bear's territory.",Drama,63a1b308
Incendies,"Nawal (Lubna Azabal), a dying Middle Eastern woman living in Montreal, leaves separate letters to her twin children to be read once she passes away. Jeanne (Mélissa Désormeaux-Poulin) is to deliver hers to the father the twins never knew, and Simon (Maxim Gaudette) is to give his to the brother they never knew they had. The siblings travel to the Middle East separately, where they each experience acts of brutality, uncover a startling family history, and have revelations about themselves.",Drama,31a9ec50
Freedom Writers,"A dedicated teacher (Hilary Swank) in a racially divided Los Angeles school has a class of at-risk teenagers deemed incapable of learning. Instead of giving up, she inspires her students to take an interest in their education and planning their future. She assigns reading material that relates to their lives and encourages them all to keep journals.",Drama,7f87e055
Happy Gilmore,"All Happy Gilmore (Adam Sandler) has ever wanted is to be a professional hockey player. But he soon discovers he may actually have a talent for playing an entirely different sport: golf. When his grandmother (Frances Bay) learns she is about to lose her home, Happy joins a golf tournament to try and win enough money to buy it for her. With his powerful driving skills and foulmouthed attitude, Happy becomes an unlikely golf hero -- much to the chagrin of the well-mannered golf professionals.",Comedy,fd351cc7
Possession,"While the Spanish flu epidemic is sweeping across the continent, a priest and his son return home to their family in rural Norway from missionary service in Madagascar. The priest has been tasked with deciding the location of a new church for the local mining company, which reveals itself to be on top of an old Sami burial ground. When the priest decides to have the remains dug up and removed, the dead come alive and haunt the settlers.",Horror,54df8217
Annie,"Ever since her parents left her as a baby, little Annie (Quvenzhané Wallis) has led a hard-knock life with her calculating foster mother, Miss Hannigan. However, all that changes when hard-nosed billionaire and mayoral candidate Will Stacks (Jamie Foxx) takes her in on the recommendation of his advisers (Rose Byrne, Bobby Cannavale). Stacks believes that he's Annie's guardian angel, but the plucky youngster's confidence and sunny outlook may mean that Annie will save Will instead.",Kids,d3a229bc
Gunpowder Milkshake,"Sam (Karen Gillan) was only 12 years old when her mother Scarlet (Lena Headey), an elite assassin, was forced to abandon her. Sam was raised by The Firm, the ruthless crime syndicate her mother worked for. Now, 15 years later, Sam has followed in her mother’s footsteps and grown into a fierce hit-woman. She uses her “talents” to clean up The Firm’s most dangerous messes. She’s as efficient as she is loyal. But when a high-risk job goes wrong, Sam must choose between serving The Firm and protecting the life of an innocent 8-year-old girl -- Emily (Chloe Colemaan). With a target on her back, Sam has only one chance to survive: Reunite with her mother and her lethal associates: The Librarians (Angela Bassett, Michelle Yeoh and Carla Gugino). These three generations of women must now learn to trust each other, stand up to The Firm and their army of henchmen, and raise hell against those who could take everything from them.",Action,0e3f9230
The Terminal,"When Viktor Navorski (Tom Hanks), an Eastern European tourist, arrives at JFK in New York, war breaks out in his country and he finds himself caught up in international politics. Because of the war, the Department of Homeland Security won't let him enter or exit the United States. He's trapped at JFK -- indefinitely. While living at the airport, Viktor falls for a flight attendant (Catherine Zeta-Jones). She may have feelings for him too. But what good is love if Viktor can't leave the terminal?",Comedy,971f5623
X-Men: The Last Stand,"The discovery of a cure for mutations leads to a turning point for Mutants (Hugh Jackman, Halle Berry, Famke Janssen, Anna Paquin, Rebecca Romijn, Kelsey Grammer). They may now choose to give up their powers and become fully human or retain their uniqueness and remain isolated. War looms between the followers of Charles Xavier (Patrick Stewart), who preaches tolerance, and those of Magneto (Ian McKellen), who advocates survival of the fittest.",Action,e1b70a12
Body of Lies,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.",Drama,ef5fc2da
Gifted,"Frank Adler (Chris Evans) is a single man raising a child prodigy - his spirited young niece Mary (Mckenna Grace) - in a coastal town in Florida. Frank's plans for a normal school life for Mary are foiled when the 7-year-old's mathematical abilities come to the attention of Frank's formidable mother, Evelyn (Lindsay Duncan), whose plans for her granddaughter threaten to separate Frank and Mary.",Drama,f41d8b5d
Only Yesterday,A put-upon 27-year-old Japanese office worker travels to the countryside and reminisces about her childhood in Tokyo and what life could have been.,Drama,b2dd8b3f
The Guernsey Literary and Potato Peel Pie Society,"In 1946 a London-based writer begins exchanging letters with residents on the island of Guernsey, which was German-occupied during WWII. Feeling compelled to visit the island, she starts to get a picture of what it was like during the occupation.",Drama,efb1df9a
'71,A young British soldier (Jack O'Connell) must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,Action,1d1fd16d
BOO!,A torn suburban family refuses to heed the warning of an innocent prank which causes an unknown supernatural force to wreak havoc.,Drama,e0080143
Story of a Girl,"When a sex video of 13-year-old Deanna and Tommy goes viral, her life of innocence ends. Three years later, Deanna is still dealing with the fallout of the video and longs to escape a life defined by the mistakes of her past.",Drama,793b2e42
The Cabinet of Dr. Caligari,"At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner Krauss). The men see Caligari showing off his somnambulist, Cesare (Conrad Veidt), a hypnotized man who the doctor claims can see into the future. Shockingly, Cesare then predicts Alan's death, and by morning his chilling prophecy has come true -- making Cesare the prime suspect. However, is Cesare guilty, or is the doctor controlling him?",Horror,dfef9db0
Downton Abbey,"The beloved Crawleys and their intrepid staff prepare for the most important moment of their lives. A royal visit from the king and queen of England soon unleashes scandal, romance and intrigue -- leaving the future of Downton hanging in the balance.",Drama,fdc46b70
Hot Summer Nights,"An awkward teenager gets in over his head dealing drugs while falling for his business partner's enigmatic sister during one scorching summer in Cape Cod, Mass.",Mystery,fca42253
Section 8,"After avenging the murder of his wife and child, a former soldier is sent to prison with a life sentence. He's given a shot at freedom when a shadow government agency recruits him for an off-the-books assignment, and he soon realizes Section 8 isn't what it seems.",Action,88556429
Hunter Hunter,"HUNTER HUNTER follows a family living in the remote wilderness earning a living as fur trappers. Joseph Mersault (Devon Sawa), his wife Anne (Camille Sullivan), and their daughter Renée (Summer H. Howell) struggle to make ends meet and think their traps are being hunted by the return of a rogue wolf. Determined to catch the predator in the act, Joseph leaves his family behind to track the wolf. Anne and Renée grow increasingly anxious during Joseph’s prolonged absence and struggle to survive without him. When they hear a strange noise outside their cabin, Anne hopes it is Joseph but instead finds a man named Lou (Nick Stahl), who has been severely injured and left for dead. The longer Lou stays and Joseph is away, the more paranoid Anne becomes, and the idea of a mysterious predator in the woods slowly becomes a threat much closer to home.",Horror,c4a62784
Night at the Museum,"A night watchman (Ben Stiller) at a museum of natural history makes a startling discovery: Thanks to the unleashing of an ancient Egyptian curse, the museum's animals, birds, bugs and other exhibits spring to life after the building closes, and former President Teddy Roosevelt (Robin Williams) is among those the hapless guard encounters.",Kids,272f4754
A Most Wanted Man,An escaped militant's (Grigoriy Dobrygin) attempt to claim an inheritance gives a German agent (Philip Seymour Hoffman) the chance to lay a trap for a well-regarded Muslim scholar who is suspected of financing terrorists.,Drama,b2d54970
Never Rarely Sometimes Always,"Faced with an unintended pregnancy and a lack of local support, Autumn and her cousin, Skylar, travel across state lines to New York City on a fraught journey of friendship, bravery and compassion.",Drama,3b5ad6b3
Snake Eyes: G.I. Joe Origins,"Snake Eyes: G.I. Joe Origins stars Henry Golding as Snake Eyes, a tenacious loner who is welcomed into an ancient Japanese clan called the Arashikage after saving the life of their heir apparent. Upon arrival in Japan, the Arashikage teach Snake Eyes the ways of the ninja warrior while also providing something he's been longing for: a home. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested -- even if that means losing the trust of those closest to him.",Action,bdf3b53f
Ron's Gone Wrong,"Twentieth Century Studios and Locksmith Animation's ""Ron's Gone Wrong"" is the story of Barney, a socially awkward middle-schooler and Ron, his new walking, talking, digitally-connected device, which is supposed to be his 'Best Friend out of the Box.' Ron's hilarious malfunctions set against the backdrop of the social media age, launch them into an action-packed journey in which boy and robot come to terms with the wonderful messiness of true friendship.",Kids,afdcefd2
Insidious: Chapter 3,"When teenager Quinn Brenner (Stefanie Scott) senses that her late mother is trying to contact her, she seeks help from gifted psychic Elise Rainier (Lin Shaye). However, Elise's tragic past makes her reluctant to use her abilities. After Quinn is attacked by a malevolent entity, her father (Dermot Mulroney) pleads with Elise for help. With support from two parapsychologists, Elise ventures deep into The Further -- where she finds a powerful demon with an insatiable craving for human souls.",Horror,abf102ed
From Dusk Till Dawn,"On the run from a bank robbery that left several police officers dead, Seth Gecko (George Clooney) and his paranoid, loose-cannon brother, Richard (Quentin Tarantino), hightail it to the Mexican border. Kidnapping preacher Jacob Fuller (Harvey Keitel) and his kids, the criminals sneak across the border in the family's RV and hole up in a topless bar. Unfortunately, the bar also happens to be home base for a gang of vampires, and the brothers and their hostages have to fight their way out.",Horror,c08f73dd
Rain Man,"When car dealer Charlie Babbitt (Tom Cruise) learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has an autistic older brother named Raymond (Dustin Hoffman) and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives.",Comedy,66f3fffd
The Double,An awkward office drone (Jesse Eisenberg) becomes increasingly unhinged after a charismatic and confident look-alike takes a job at his workplace and seduces the woman (Mia Wasikowska) he desires.,Comedy,b82259c2
Nocturne,"Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate.",Horror,859b5532
First Reformed,The pastor of a small church in upstate New York spirals out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,Mystery,7efec0ea
Ballistic: Ecks vs. Sever,"Haunted by the mysterious death of his wife, Jeremiah Ecks (Antonio Banderas) has become a recluse, but the former FBI manhunter is blackmailed back into service to track down an unstoppable ex-DIA operative, code-named Sever (Lucy Liu), who has kidnapped the young son of the head of a secret committee of international security agencies.",Action,006c2886
"The Way, Way Back","Duncan (Liam James) is an awkward teen who must spend the summer at a beach house with his mother (Toni Collette), her boyfriend, Trent (Steve Carell), and Trent's obnoxious daughter. Trent can't resist badgering Duncan, so the youth steals away to a water park and gets a job that will help him stay off Trent's radar. As Duncan tends to the slides and pools of the aging park, he finds a father figure in wisecracking park manager Owen (Sam Rockwell) at a time when he desperately needs one.",Comedy,e5f5723e
A Bug's Life,"Flik (Dave Foley) is an inventive ant who's always messing things up for his colony. His latest mishap was destroying the food stores that were supposed to be used to pay off grasshopper Hopper (Kevin Spacey). Now the strong-arming insect is demanding that the ants gather double the food -- or face annihilation. To avert disaster, Flik goes on a journey to recruit fighters to defend the colony. When he meets a band of high-flying circus insects, he thinks he's found his salvation.",Kids,b34cd746
Collateral Beauty,"When a successful New York advertising executive (Will Smith) suffers a great tragedy, he retreats from life. While his concerned friends try desperately to reconnect with him, he seeks answers from the universe by writing letters to Love, Time and Death. When his notes bring unexpected personal responses, he begins to understand how these constants interlock in a life fully lived and how even the deepest loss can reveal moments of meaning and beauty.",Drama,7ff024ea
Final Destination 5,"During a bus ride with his colleagues to a corporate retreat, Sam (Nicholas D'Agosto) experiences a horrifying vision: the suspension bridge that they -- and many others -- are crossing starts to crumble around them. When his vision ends and, almost immediately, starts to come true, Sam takes quick action that saves a number of people, including his girlfriend, Molly (Emma Bell), and his best friend, Peter (Miles Fisher). However, the survivors soon find that Death will not be denied.",Horror,d355fb23
Smile,"The time has come for the annual Young American Miss Pageant in California. Executive producer Brenda (Barbara Feldon) focuses maniacally on the event, ignoring any complaints. While her husband, Andy (Nicholas Pryor), sulks, choreographer Tommy French (Michael Kidd) looks after the safety of the contestants. With all the girls trying to outdo each other, tension increases as the pageant drags on and the skeptical contestant, Robin (Joan Prather), takes the lead despite her reservations.",Comedy,716d8bad
Freaky Friday,"Single mother Tess Coleman (Jamie Lee Curtis) and her teenage daughter Anna (Lindsay Lohan) couldn't be more different, and it is driving them both insane. After receiving cryptic fortunes at a Chinese restaurant, the two wake up the next day to discover that they have somehow switched bodies. Unable to switch back, they are forced to masquerade as one another until a solution can be found. In the process, they develop a new sense of respect and understanding for one another.",Kids,42ad011c
The Monster Squad,"Members (Andre Gower, Robby Kiger) of a monster fan club meet Count Dracula, Wolfman, Frankenstein, the Mummy and Gill Man.",Horror,565b6710
X2,"Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of the X-Men. This threat re-ignites the call for a mutant registration act. Stryker starts a full-out assault on Professor Xavier's (Patrick Stewart) mansion and school. After escaping his plastic cell, Magneto (Ian McKellen) proposes a partnership with Xavier and the X-Men to combat this new formidable enemy they both have in common.",Action,78c239e6
What Lies Beneath,"It had been a year since Dr. Norman Spencer (Harrison Ford) betrayed his beautiful wife Claire (Michelle Pfeiffer). But with Claire oblivious to the truth, Norman's life and marriage seem so perfect that when Claire tells him of hearing mysterious voices and seeing a young woman's image in their home, he dismisses her terror as delusion. Claire moves closer to the truth and it becomes clear that this apparition will not be dismissed, and has come back for Dr. Spencer and his beautiful wife.",Mystery,b2090060
American Ultra,"Small-town stoner Mike Howell (Jesse Eisenberg) spends most of his time getting high and writing a graphic novel. What Mike doesn't know is that he was trained by the CIA to be a lethal killing machine. When the agency targets him for termination, his former handler activates his latent skills, turning the mild-mannered slacker into a deadly weapon. Now, the utterly surprised Mike must use his newfound abilities to save himself and his girlfriend from getting smoked.",Action,1e167a63
House on Haunted Hill,"A millionaire with theatrical tendencies, Stephen Price (Geoffrey Rush) invites a number of people to stay in a vast creepy building that used to be an insane asylum. Stephen, accompanied by his bitter wife, Evelyn (Famke Janssen), offers a million dollars to anyone who can stay the whole night without leaving out of fear. When Stephen and Evelyn become trapped with their guests, they quickly realize that the house really is haunted -- and the spirits dwelling within are very angry.",Horror,5ba24517
Cadaver,"In the starving aftermath of a nuclear disaster, a family accepts a charitable offer, which turns into a sinister game.",Drama,209293b5
Hard Eight,A stranger (Philip Baker Hall) mentors a young Reno gambler (John C. Reilly) who weds a hooker (Gwyneth Paltrow) and befriends a vulgar casino regular.,Drama,7ef7f365
To the Moon,A weekend of healing for Dennis and Mia becomes a hallucinatory nightmare when Dennis' estranged brother arrives and begins to distort their sense of reality.,Mystery,8c04772e
A Nightmare on Elm Street 2: Freddy's Revenge,"Jesse Walsh (Mark Patton) moves with his family into the home of the lone survivor from a series of attacks by dream-stalking monster Freddy Krueger (Robert Englund). There, Jesse is bedeviled by nightmares and inexplicably violent impulses. It turns out Freddy needs a host body to carry out his gruesome vendetta against the youth of Springwood, Ohio. While Freddy gains influence, Jesse and his girlfriend, Lisa (Kim Myers), race against the clock trying to figure out what's going on.",Horror,50f8c43e
